Date,Price
5/2/20,78
1/28/20,340
1/27/20,330
1/24/20,380
1/23/20,365
1/22/20,415
1/21/20,465
1/20/20,445
1/17/20,365
1/16/20,403
1/14/20,395
1/13/20,303
1/9/20,295
1/8/20,315
1/7/20,385
1/6/20,345
1/3/20,335
1/2/20,325
1/1/20,285
12/31/19,315
12/27/19,395
12/26/19,325
12/24/19,265
12/23/19,235
12/20/19,365
12/19/19,325
12/18/19,253
12/17/19,205
12/16/19,355
12/13/19,283
12/12/19,245
12/10/19,255
12/9/19,148
12/6/19,210
12/5/19,235
12/4/19,253
12/3/19,215
12/2/19,215
11/29/19,235
11/28/19,175
11/27/19,205
11/26/19,225
11/25/19,245
11/22/19,235
11/21/19,238
11/20/19,295
11/19/19,308
11/18/19,315
11/15/19,273
11/14/19,245
11/13/19,275
11/8/19,185
11/7/19,235
11/6/19,175
11/5/19,205
11/4/19,213
11/1/19,233
10/31/19,203
10/30/19,255
10/29/19,175
10/28/19,205
10/25/19,135
10/24/19,155
10/23/19,143
10/22/19,133
10/21/19,138
10/18/19,115
10/17/19,118
10/16/19,115
10/15/19,115
10/14/19,125
10/11/19,133
10/10/19,135
10/9/19,98
10/8/19,95
10/7/19,95
10/4/19,93
10/3/19,93
10/2/19,95
10/1/19,88
9/30/19,83
9/27/19,123
9/26/19,88
9/25/19,93
9/24/19,85
9/23/19,115
9/20/19,103
9/19/19,93
9/18/19,98
9/17/19,105
9/16/19,88
9/12/19,95
9/11/19,100
9/10/19,88
9/9/19,98
9/6/19,93
9/5/19,93
9/4/19,108
9/3/19,93
9/2/19,93
8/30/19,98
8/29/19,93
8/28/19,88
8/27/19,93
8/26/19,98
8/23/19,88
8/22/19,88
8/21/19,118
8/20/19,80
8/19/19,108
8/16/19,125
8/15/19,103
8/13/19,98
8/9/19,108
8/8/19,133
8/7/19,123
8/6/19,135
8/5/19,105
8/2/19,115
8/1/19,135
7/31/19,108
7/30/19,125
7/29/19,135
7/26/19,143
7/25/19,133
7/24/19,135
7/23/19,115
7/22/19,145
7/19/19,115
7/18/19,143
7/17/19,135
7/15/19,125
7/12/19,163
7/11/19,145
7/10/19,165
7/9/19,155
7/8/19,155
7/5/19,178
7/4/19,175
7/3/19,148
7/2/19,145
7/1/19,135
6/28/19,135
6/27/19,143
6/26/19,135
6/25/19,148
6/24/19,148
6/21/19,153
6/20/19,135
6/19/19,165
6/18/19,165
6/17/19,145
6/14/19,145
6/13/19,160
6/12/19,145
6/11/19,145
6/10/19,135
6/7/19,175
6/6/19,141
6/4/19,193
6/3/19,153
5/31/19,145
5/30/19,155
5/29/19,165
5/28/19,165
5/27/19,163
5/24/19,195
5/23/19,205
5/22/19,155
5/21/19,225
