Date,Price
10/30/19,248
10/28/19,258
10/25/19,258
10/24/19,268
10/23/19,268
10/22/19,278
10/21/19,268
10/18/19,268
10/17/19,278
10/16/19,268
10/15/19,278
10/14/19,288
10/11/19,258
10/10/19,240
10/9/19,243
10/8/19,225
10/7/19,238
10/4/19,238
10/3/19,273
10/2/19,278
10/1/19,288
9/30/19,198
9/27/19,158
9/26/19,158
9/25/19,158
9/24/19,158
9/23/19,158
9/20/19,163
9/19/19,153
9/18/19,153
9/17/19,148
9/16/19,138
9/12/19,113
9/11/19,128
9/10/19,110
9/9/19,110
9/6/19,108
9/5/19,118
9/4/19,93
9/3/19,93
9/2/19,98
8/30/19,108
8/29/19,118
8/28/19,133
8/27/19,123
8/26/19,128
8/23/19,108
8/22/19,118
8/21/19,128
8/20/19,123
8/19/19,123
8/16/19,128
1/18/19,160
12/19/18,73
12/18/18,78
12/13/18,73
12/12/18,73
12/11/18,n.a.
12/7/18,83
12/6/18,88
12/5/18,83
12/4/18,103
12/3/18,103
11/30/18,98
11/29/18,108
11/28/18,108
11/27/18,103
11/26/18,103
11/23/18,n.a.
11/21/18,93
11/19/18,98
11/16/18,93
11/15/18,108
11/14/18,98
11/13/18,98
11/12/18,98
11/9/18,103
11/8/18,113
11/7/18,98
11/5/18,108
11/2/18,108
11/1/18,113
10/31/18,98
10/30/18,108
10/29/18,93
10/26/18,93
10/25/18,n.a.
10/23/18,93
10/22/18,93
10/19/18,88
10/18/18,88
10/17/18,88
10/16/18,78
10/15/18,78
10/12/18,78
10/11/18,73
10/10/18,63
10/9/18,63
10/8/18,88
10/5/18,78
10/4/18,73
10/3/18,73
10/2/18,83
10/1/18,77
9/28/18,77
9/27/18,81
9/26/18,83
9/25/18,83
9/21/18,87
9/20/18,93
9/19/18,88
9/18/18,88
9/17/18,88
9/13/18,84
9/13/18,84
9/12/18,80
9/11/18,78
8/31/18,88
8/30/18,84
8/29/18,88
8/28/18,93
8/27/18,108
8/24/18,93
8/23/18,n.a.
8/21/18,93
8/20/18,n.a.
8/17/18,n.a.
8/16/18,n.a.
8/15/18,n.a.
8/14/18,n.a.
8/13/18,n.a.
8/10/18,n.a.
8/9/18,n.a.
8/8/18,n.a.
8/7/18,n.a.
8/6/18,n.a.
8/3/18,n.a.
8/2/18,n.a.
8/1/18,n.a.
7/31/18,n.a.
7/30/18,n.a.
7/26/18,n.a.
7/25/18,n.a.
7/24/18,n.a.
7/23/18,n.a.
7/20/18,n.a.
7/19/18,n.a.
7/18/18,n.a.
7/17/18,n.a.
7/16/18,n.a.
7/13/18,n.a.
7/12/18,n.a.
7/11/18,n.a.
7/10/18,n.a.
7/9/18,n.a.
7/6/18,n.a.
7/5/18,n.a.
7/4/18,n.a.
7/3/18,0
7/2/18,0
6/29/18,n.a.
6/28/18,n.a.
6/26/18,n.a.
6/25/18,n.a.
6/22/18,n.a.
6/21/18,n.a.
6/20/18,n.a.
6/19/18,n.a.
6/18/18,n.a.
6/14/18,n.a.
6/13/18,n.a.
6/12/18,n.a.
6/11/18,n.a.
6/8/18,n.a.
6/7/18,n.a.
6/6/18,n.a.
6/5/18,n.a.
6/4/18,n.a.
6/1/18,n.a.
5/31/18,n.a.
5/30/18,n.a.
5/28/18,n.a.
5/25/18,n.a.
5/24/18,n.a.
5/23/18,n.a.
5/22/18,n.a.
5/21/18,n.a.
5/18/18,n.a.
5/17/18,n.a.
5/16/18,n.a.
5/15/18,n.a.
5/14/18,n.a.
5/11/18,n.a.
5/10/18,n.a.
5/9/18,n.a.
5/8/18,n.a.
5/4/18,n.a.
5/3/18,n.a.
5/2/18,n.a.
5/1/18,n.a.
4/27/18,n.a.
4/26/18,n.a.
4/25/18,n.a.
4/24/18,n.a.
4/23/18,n.a.
4/20/18,n.a.
4/19/18,n.a.
4/18/18,n.a.
4/17/18,n.a.
4/16/18,n.a.
4/12/18,n.a.
4/11/18,n.a.
4/10/18,n.a.
4/9/18,n.a.
4/6/18,n.a.
4/5/18,n.a.
4/4/18,n.a.
4/3/18,n.a.
4/2/18,n.a.
3/29/18,n.a.
3/28/18,n.a.
3/27/18,n.a.
3/26/18,n.a.
3/23/18,n.a.
3/22/18,n.a.
3/21/18,n.a.
3/20/18,n.a.
3/19/18,n.a.
3/16/18,n.a.
3/15/18,n.a.
3/14/18,n.a.
3/13/18,n.a.
3/12/18,n.a.
3/9/18,n.a.
3/8/18,n.a.
3/7/18,n.a.
3/6/18,n.a.
3/5/18,n.a.
3/2/18,n.a.
2/28/18,n.a.
2/27/18,n.a.
2/26/18,n.a.
2/23/18,n.a.
2/22/18,n.a.
2/21/18,n.a.
2/20/18,n.a.
2/19/18,n.a.
2/16/18,n.a.
2/15/18,n.a.
2/14/18,n.a.
2/12/18,n.a.
2/9/18,n.a.
2/8/18,n.a.
2/7/18,n.a.
2/6/18,n.a.
2/2/18,n.a.
2/1/18,n.a.
1/30/18,n.a.
1/29/18,n.a.
1/26/18,n.a.
1/25/18,n.a.
1/24/18,n.a.
1/23/18,n.a.
1/22/18,n.a.
1/19/18,n.a.
1/18/18,n.a.
1/17/18,n.a.
1/16/18,n.a.
1/12/18,n.a.
1/11/18,n.a.
1/10/18,n.a.
1/9/18,n.a.
1/8/18,n.a.
1/5/18,n.a.
1/4/18,n.a.
1/3/18,n.a.
1/2/18,n.a.
12/29/17,n.a.
12/28/17,n.a.
12/27/17,n.a.
12/26/17,n.a.
12/22/17,n.a.
12/21/17,n.a.
12/20/17,n.a.
12/19/17,n.a.
12/18/17,n.a.
12/15/17,n.a.
12/14/17,n.a.
12/13/17,n.a.
12/12/17,n.a.
12/11/17,n.a.
12/8/17,n.a.
12/7/17,n.a.
12/6/17,n.a.
12/5/17,n.a.
12/4/17,n.a.
11/30/17,n.a.
11/29/17,n.a.
11/28/17,n.a.
11/27/17,n.a.
11/24/17,n.a.
11/23/17,n.a.
11/22/17,n.a.
11/21/17,n.a.
11/20/17,n.a.
11/17/17,n.a.
11/16/17,n.a.
11/15/17,128
11/14/17,n.a.
11/13/17,n.a.
11/10/17,155
11/9/17,183
11/8/17,205
11/7/17,195
11/6/17,198
11/2/17,158
11/1/17,188
10/31/17,173
10/27/17,148
10/26/17,148
10/25/17,148
10/24/17,148
10/23/17,148
10/20/17,118
10/19/17,113
10/17/17,118
10/16/17,103
10/13/17,108
10/12/17,108
10/11/17,123
10/10/17,108
10/9/17,93
10/6/17,78
10/4/17,78
10/3/17,58
10/2/17,-1.27
9/29/17,93
9/28/17,78
9/27/17,78
9/26/17,73
9/25/17,73
9/22/17,80
9/21/17,75
9/20/17,78
9/19/17,93
9/18/17,83
9/15/17,128
9/14/17,108
9/13/17,113
9/12/17,97.5
9/11/17,123
9/8/17,123
9/7/17,113
9/6/17,108
9/4/17,117.5
8/31/17,100
8/30/17,98
8/29/17,103
8/28/17,108
8/25/17,113
8/24/17,123
8/23/17,123
8/22/17,123
8/21/17,113
8/18/17,118
8/17/17,n.a.
8/16/17,n.a.
8/15/17,n.a.
8/14/17,118
8/11/17,n.a.
8/10/17,108
8/9/17,n.a.
8/8/17,n.a.
8/4/17,n.a.
8/3/17,n.a.
8/2/17,n.a.
8/1/17,n.a.
7/31/17,n.a.
7/28/17,n.a.
7/27/17,n.a.
7/19/17,n.a.
7/18/17,n.a.
7/17/17,n.a.
7/14/17,n.a.
7/13/17,n.a.
7/12/17,n.a.
7/11/17,n.a.
7/10/17,n.a.
7/7/17,n.a.
7/6/17,n.a.
7/5/17,n.a.
7/4/17,n.a.
7/3/17,n.a.
6/29/17,n.a.
6/28/17,n.a.
6/27/17,n.a.
6/23/17,n.a.
6/22/17,n.a.
6/21/17,n.a.
6/20/17,n.a.
6/19/17,n.a.
6/16/17,n.a.
6/15/17,n.a.
6/14/17,n.a.
6/13/17,n.a.
6/12/17,n.a.
6/9/17,n.a.
6/7/17,n.a.
6/6/17,n.a.
6/5/17,n.a.
6/2/17,n.a.
6/1/17,n.a.
5/31/17,n.a.
5/30/17,n.a.
5/29/17,n.a.
5/26/17,n.a.
5/25/17,n.a.
5/24/17,n.a.
5/23/17,n.a.
5/22/17,n.a.
5/19/17,n.a.
5/18/17,n.a.
5/17/17,n.a.
5/16/17,n.a.
5/15/17,n.a.
5/12/17,n.a.
5/9/17,n.a.
5/8/17,n.a.
5/5/17,n.a.
5/4/17,n.a.
5/3/17,n.a.
5/2/17,n.a.
4/28/17,n.a.
4/27/17,n.a.
4/26/17,n.a.
4/25/17,n.a.
4/24/17,n.a.
4/20/17,n.a.
4/19/17,n.a.
4/18/17,n.a.
4/17/17,n.a.
4/12/17,n.a.
4/11/17,n.a.
4/7/17,n.a.
4/6/17,n.a.
4/5/17,n.a.
4/4/17,n.a.
4/3/17,n.a.
3/31/17,n.a.
3/30/17,n.a.
3/29/17,n.a.
3/28/17,n.a.
3/27/17,n.a.
3/24/17,n.a.
3/23/17,n.a.
3/22/17,n.a.
3/21/17,n.a.
3/20/17,n.a.
3/17/17,n.a.
3/16/17,n.a.
3/15/17,n.a.
3/14/17,n.a.
3/13/17,n.a.
3/10/17,n.a.
3/9/17,n.a.
3/8/17,n.a.
3/7/17,n.a.
3/6/17,n.a.
3/3/17,n.a.
3/2/17,n.a.
3/1/17,83
2/28/17,n.a.
2/27/17,n.a.
2/23/17,n.a.
2/22/17,n.a.
2/21/17,n.a.
2/20/17,n.a.
2/17/17,n.a.
2/16/17,n.a.
2/15/17,n.a.
2/14/17,n.a.
2/13/17,n.a.
2/9/17,n.a.
2/8/17,n.a.
2/7/17,n.a.
