Date,Price
8/1/16,165
8/2/16,170
8/3/16,165
8/4/16,160
8/5/16,150
8/8/16,155
8/9/16,155
8/10/16,150
8/11/16,145
8/12/16,155
8/15/16,150
8/16/16,165
8/18/16,155
8/19/16,150
8/22/16,150
8/23/16,130
8/24/16,130
8/25/16,130
8/26/16,120
8/29/16,140
8/30/16,130
8/31/16,130
9/1/16,130
9/2/16,130
9/5/16,123
9/6/16,120
9/7/16,125
9/8/16,125
9/13/16,130
9/14/16,123
9/15/16,120
9/19/16,120
9/20/16,120
9/21/16,120
9/22/16,125
9/23/16,120
9/26/16,120
9/27/16,120
9/28/16,120
9/29/16,115
9/30/16,120
10/3/16,120
10/4/16,120
10/5/16,120
10/6/16,120
10/7/16,120
10/10/16,120
10/11/16,120
10/12/16,120
10/13/16,120
10/14/16,120
10/17/16,120
10/19/16,120
10/20/16,120
10/21/16,135
10/24/16,120
10/25/16,120
10/26/16,120
10/27/16,120
10/28/16,120
10/31/16,120
11/1/16,120
11/2/16,135
11/3/16,135
11/4/16,130
11/7/16,135
11/8/16,130
11/9/16,135
11/10/16,130
11/11/16,130
11/15/16,130
11/16/16,135
11/17/16,145
11/18/16,145
11/21/16,155
11/22/16,155
11/23/16,145
11/24/16,155
11/25/16,150
11/28/16,155
11/29/16,150
11/30/16,155
12/1/16,155
12/2/16,155
12/5/16,158
12/6/16,150
12/7/16,170
12/8/16,170
12/9/16,170
1/2/17,170
1/3/17,170
1/4/17,210
1/5/17,158
1/6/17,158
1/9/17,138
1/10/17,143
1/11/17,143
1/13/17,148
1/16/17,148
1/17/17,153
1/19/17,153
1/20/17,143
1/23/17,153
1/24/17,138
1/25/17,153
1/26/17,155
1/27/17,155
1/31/17,155
2/1/17,155
2/2/17,158
2/3/17,145
2/6/17,128
2/7/17,128
2/8/17,128
2/9/17,135
2/13/17,123
2/14/17,123
2/15/17,128
2/16/17,135
2/17/17,135
2/20/17,128
2/21/17,128
2/22/17,128
2/23/17,128
2/27/17,140
2/28/17,125
3/1/17,123
3/2/17,138
3/3/17,135
3/6/17,95
3/7/17,145
3/8/17,88
3/9/17,110
3/10/17,118
3/13/17,105
3/15/17,105
3/16/17,118
3/17/17,93
3/20/17,118
3/27/17,128
3/28/17,118
3/29/17,118
4/3/17,115
4/4/17,130
4/5/17,133
4/6/17,118
4/7/17,148
4/11/17,155
4/12/17,145
4/17/17,148
4/18/17,118
4/19/17,123
4/20/17,138
4/24/17,128
4/25/17,133
4/26/17,133
4/27/17,138
4/28/17,138
5/2/17,138
5/3/17,133
5/4/17,130
5/5/17,133
5/8/17,133
5/9/17,143
5/12/17,160
5/15/17,150
5/16/17,128
5/17/17,138
5/18/17,133
5/19/17,138
5/22/17,143
5/23/17,133
5/24/17,135
5/25/17,145
5/26/17,138
5/29/17,138
5/30/17,138
5/31/17,143
6/1/17,148
6/2/17,138
6/5/17,148
6/6/17,145
6/7/17,138
6/12/17,138
6/13/17,133
6/14/17,133
6/15/17,138
6/16/17,138
6/19/17,128
6/20/17,138
6/21/17,128
6/22/17,138
6/23/17,128
6/27/17,138
6/28/17,145
6/29/17,128
7/3/17,133
7/4/17,128
7/5/17,128
7/6/17,133
7/10/17,133
7/11/17,138
7/12/17,128
7/13/17,133
7/14/17,148
7/17/17,153
7/18/17,138
7/19/17,148
7/27/17,143
7/28/17,148
7/31/17,148
8/1/17,155
8/2/17,148
8/3/17,143
8/4/17,148
8/8/17,138
8/9/17,148
8/10/17,138
8/11/17,138
8/14/17,148
8/15/17,148
8/16/17,148
8/17/17,148
8/18/17,153
8/21/17,128
8/22/17,138
8/23/17,143
8/24/17,143
8/25/17,138
8/28/17,138
8/29/17,138
8/30/17,138
8/31/17,138
9/4/17,137.5
9/6/17,138
9/7/17,148
9/8/17,138
9/11/17,138
9/12/17,137.5
9/13/17,118
9/14/17,128
9/15/17,128
9/18/17,138
9/19/17,118
9/20/17,128
9/21/17,135
9/22/17,115
9/25/17,113
9/26/17,113
9/27/17,108
9/28/17,113
9/29/17,123
10/3/17,118
10/4/17,103
10/6/17,105
10/9/17,108
10/10/17,118
10/11/17,135
10/12/17,108
10/13/17,108
10/16/17,108
10/17/17,103
10/19/17,113
10/20/17,113
10/23/17,120
10/24/17,108
10/25/17,118
10/26/17,103
10/27/17,103
10/31/17,103
11/1/17,103
11/2/17,108
11/6/17,103
11/7/17,108
11/8/17,125
11/9/17,118
11/10/17,103
11/13/17,103
11/14/17,93
11/15/17,108
11/16/17,118
11/17/17,83
11/20/17,88
11/21/17,93
11/22/17,88
11/23/17,83
11/24/17,108
11/27/17,118
11/28/17,98
11/29/17,108
11/30/17,113
12/5/17,121
12/6/17,103
12/7/17,118
12/8/17,103
12/11/17,118
12/12/17,118
12/13/17,113
12/14/17,123
12/15/17,123
12/18/17,118
12/19/17,118
12/20/17,128
12/21/17,123
12/22/17,108
12/26/17,118
12/27/17,118
12/28/17,123
12/29/17,113
1/3/18,128
1/4/18,128
1/5/18,128
1/8/18,128
1/9/18,123
1/10/18,118
1/11/18,118
1/12/18,118
1/16/18,108
1/17/18,118
1/18/18,108
1/22/18,128
1/23/18,128
1/24/18,128
1/25/18,128
1/26/18,98
1/29/18,118
1/30/18,118
2/1/18,128
2/2/18,123
2/6/18,98
2/7/18,98
2/8/18,93
2/9/18,93
2/14/18,98
2/15/18,108
2/16/18,108
2/20/18,78
2/21/18,78
2/22/18,93
3/5/18,93
3/7/18,88
3/12/18,98
3/13/18,98
3/14/18,93
3/15/18,93
3/16/18,93
3/19/18,98
3/20/18,98
3/21/18,71
3/22/18,99
3/23/18,83
3/26/18,83
3/27/18,93
3/28/18,128
3/29/18,88
4/2/18,118
4/3/18,123
4/4/18,123
4/5/18,108
4/6/18,103
4/9/18,118
4/10/18,115
4/11/18,118
4/12/18,108
4/18/18,118
4/19/18,108
4/20/18,108
4/23/18,103
4/24/18,108
4/25/18,99
4/26/18,103
4/27/18,108
5/1/18,108
5/3/18,118
5/4/18,113
5/8/18,128
5/9/18,118
5/10/18,128
5/14/18,138
5/17/18,128
5/18/18,128
5/21/18,130
5/22/18,130
5/23/18,139
5/24/18,128
5/25/18,133
5/28/18,128
5/30/18,133
5/31/18,138
6/1/18,133
6/4/18,133
6/5/18,138
6/6/18,133
6/7/18,138
6/12/18,128
6/13/18,168
6/14/18,158
6/18/18,148
6/19/18,138
6/20/18,143
6/21/18,138
6/22/18,138
6/25/18,138
6/26/18,158
6/29/18,138
7/2/18,133
7/3/18,145
7/4/18,133
7/6/18,153
7/9/18,168
7/10/18,165
7/11/18,158
7/13/18,148
7/16/18,173
7/17/18,173
7/18/18,183
7/19/18,170
7/20/18,178
7/23/18,148
7/24/18,168
7/25/18,160
7/26/18,148
7/30/18,153
7/31/18,178
8/1/18,158
8/2/18,158
8/3/18,158
8/6/18,148
8/7/18,179
8/8/18,133
8/9/18,178
8/14/18,183
8/15/18,188
8/16/18,158
8/21/18,173
8/23/18,158
8/27/18,118
8/28/18,108
8/29/18,103
8/31/18,118
9/11/18,108
9/12/18,98
9/13/18,108
9/13/18,108
9/17/18,93
9/18/18,93
9/20/18,93
9/21/18,108
9/26/18,108
9/27/18,118
9/28/18,118
10/1/18,88
10/2/18,85
10/3/18,89
10/4/18,89
10/5/18,103
10/8/18,93
10/9/18,98
10/10/18,108
10/11/18,108
10/12/18,93
10/15/18,98
10/16/18,118
10/17/18,98
10/18/18,99
10/19/18,88
10/22/18,103
10/23/18,98
10/26/18,103
10/29/18,118
10/30/18,103
10/31/18,113
11/1/18,123
11/5/18,123
11/7/18,133
11/8/18,163
11/9/18,153
11/12/18,163
