Date,Price
5/2/20,110
1/28/20,360
1/27/20,365
1/24/20,360
1/23/20,335
1/22/20,n.a.
1/21/20,348
1/20/20,358
1/17/20,408
1/16/20,388
1/14/20,n.a.
1/13/20,320
1/9/20,n.a.
1/8/20,n.a.
1/7/20,n.a.
1/6/20,338
1/3/20,n.a.
1/2/20,n.a.
1/1/20,408
12/31/19,435
12/27/19,400
12/26/19,478
12/24/19,350
12/23/19,500
12/20/19,508
12/19/19,458
12/18/19,578
12/17/19,588
12/16/19,450
12/13/19,435
12/12/19,455
12/10/19,493
12/9/19,410
12/6/19,480
12/5/19,410
12/4/19,445
12/3/19,370
12/2/19,410
11/29/19,400
11/28/19,378
11/27/19,410
11/26/19,415
11/25/19,375
11/22/19,280
11/21/19,360
11/20/19,368
11/19/19,385
11/18/19,325
11/15/19,270
11/14/19,283
11/13/19,265
11/8/19,290
11/7/19,395
11/6/19,275
11/5/19,270
11/4/19,293
11/1/19,275
10/31/19,285
10/30/19,278
10/29/19,270
10/28/19,250
10/25/19,230
10/24/19,238
10/23/19,288
10/22/19,220
10/21/19,243
10/18/19,243
10/17/19,218
10/16/19,215
10/15/19,218
10/14/19,220
10/11/19,238
10/10/19,215
10/9/19,190
10/8/19,180
10/7/19,195
10/4/19,188
10/3/19,148
10/2/19,158
10/1/19,158
9/30/19,125
9/27/19,108
9/26/19,123
9/25/19,118
9/24/19,130
9/23/19,108
9/20/19,143
9/19/19,138
9/18/19,148
9/17/19,108
9/16/19,123
9/12/19,118
9/11/19,138
9/10/19,100
9/9/19,120
9/6/19,115
9/5/19,123
9/4/19,93
9/3/19,108
9/2/19,118
8/30/19,108
8/29/19,108
8/28/19,115
8/27/19,98
8/26/19,113
8/23/19,124
8/22/19,83
8/21/19,128
8/20/19,108
8/19/19,88
8/16/19,98
8/15/19,108
8/13/19,118
8/9/19,88
8/8/19,75
8/7/19,93
8/6/19,90
8/5/19,103
8/2/19,98
8/1/19,105
7/31/19,118
7/30/19,83
7/29/19,88
7/26/19,85
7/25/19,108
7/24/19,100
7/23/19,110
7/22/19,138
7/19/19,125
7/18/19,140
7/17/19,125
7/15/19,110
7/12/19,118
7/11/19,138
7/10/19,143
7/9/19,140
7/8/19,130
7/5/19,178
7/4/19,188
7/3/19,170
7/2/19,170
7/1/19,165
6/28/19,180
6/27/19,145
6/26/19,168
6/25/19,168
6/24/19,145
6/21/19,140
6/20/19,135
6/19/19,150
6/18/19,170
6/17/19,160
6/14/19,185
6/13/19,148
6/12/19,150
6/11/19,175
6/10/19,150
6/7/19,140
6/6/19,140
6/4/19,138
6/3/19,128
5/31/19,135
5/30/19,135
5/29/19,140
5/28/19,155
5/27/19,145
5/24/19,150
5/23/19,130
5/22/19,135
5/21/19,105
5/17/19,105
5/16/19,120
5/15/19,165
5/14/19,145
5/13/19,115
5/10/19,100
5/9/19,108
5/8/19,108
5/7/19,100
5/6/19,100
5/3/19,105
4/30/19,108
4/29/19,103
4/26/19,116
4/25/19,98
4/24/19,108
4/23/19,105
4/22/19,105
4/18/19,130
4/17/19,n.a.
4/16/19,n.a.
4/12/19,85
4/11/19,103
4/10/19,95
4/9/19,85
4/8/19,88
4/5/19,75
4/4/19,85
4/3/19,75
4/2/19,93
4/1/19,103
3/29/19,75
3/28/19,70
3/27/19,78
3/26/19,88
3/25/19,73
3/22/19,100
3/21/19,95
3/19/19,73
3/18/19,75
3/15/19,68
3/14/19,68
3/13/19,88
3/12/19,88
3/11/19,93
3/8/19,68
3/7/19,86
3/6/19,86
3/5/19,88
3/1/19,80
2/28/19,70
2/27/19,88
2/26/19,98
2/25/19,93
2/22/19,73
2/21/19,90
2/20/19,88
2/18/19,100
2/15/19,78
2/14/19,93
2/13/19,98
2/12/19,110
2/11/19,98
2/8/19,98
2/7/19,108
2/6/19,108
2/5/19,118
2/1/19,125
1/31/19,130
1/30/19,126
1/29/19,90
1/28/19,116
1/25/19,108
1/24/19,100
1/22/19,108
1/21/19,n.a.
1/18/19,n.a.
1/17/19,n.a.
1/16/19,108
1/14/19,78
1/11/19,118
1/10/19,88
1/9/19,88
1/8/19,68
1/7/19,88
1/4/19,118
1/3/19,138
1/2/19,n.a.
1/1/19,110
12/31/18,130
12/28/18,108
12/27/18,108
12/26/18,108
12/24/18,88
12/21/18,88
12/20/18,118
12/19/18,118
12/18/18,118
12/17/18,118
12/14/18,138
12/13/18,128
12/12/18,138
12/11/18,128
12/7/18,128
12/6/18,123
12/5/18,108
12/4/18,128
12/3/18,138
11/30/18,113
11/29/18,138
11/28/18,178
11/27/18,138
11/26/18,138
11/23/18,n.a.
11/21/18,128
11/19/18,118
11/16/18,138
11/15/18,128
11/14/18,148
11/13/18,148
11/12/18,108
11/9/18,133
11/8/18,138
11/7/18,128
11/5/18,128
11/2/18,118
11/1/18,148
10/31/18,138
10/30/18,158
10/29/18,133
10/26/18,118
10/25/18,n.a.
10/23/18,118
10/22/18,135
10/19/18,128
10/18/18,108
10/17/18,118
10/16/18,88
10/15/18,88
10/12/18,108
10/11/18,108
10/10/18,98
10/9/18,123
10/8/18,93
10/5/18,93
10/4/18,83
10/3/18,83
10/2/18,89
10/1/18,88
9/28/18,103
9/27/18,89
9/26/18,103
9/25/18,88
9/21/18,93
9/20/18,93
9/19/18,99
9/18/18,93
9/17/18,88
9/13/18,98
9/13/18,98
9/12/18,93
9/11/18,98
8/31/18,93
8/30/18,103
8/29/18,108
8/28/18,78
8/27/18,113
8/24/18,88
8/23/18,88
8/21/18,98
8/20/18,108
8/17/18,103
8/16/18,103
8/15/18,98
8/14/18,108
8/13/18,113
8/10/18,88
8/9/18,98
8/8/18,108
8/7/18,98
8/6/18,113
8/3/18,118
8/2/18,118
8/1/18,118
7/31/18,108
7/30/18,128
7/26/18,118
7/25/18,108
7/24/18,103
7/23/18,108
7/20/18,113
7/19/18,113
7/18/18,108
7/17/18,123
7/16/18,108
7/13/18,128
7/12/18,123
7/11/18,123
7/10/18,133
7/9/18,123
7/6/18,143
7/5/18,n.a.
7/4/18,138
7/3/18,145
7/2/18,125
6/29/18,128
6/28/18,n.a.
6/26/18,113
6/25/18,108
6/22/18,128
6/21/18,118
6/20/18,118
6/19/18,125
6/18/18,133
6/14/18,128
6/13/18,128
6/12/18,128
6/11/18,123
6/8/18,118
6/7/18,118
6/6/18,108
6/5/18,128
6/4/18,128
6/1/18,158
5/31/18,138
5/30/18,138
5/28/18,148
5/25/18,n.a.
5/24/18,n.a.
5/23/18,99
5/22/18,n.a.
5/21/18,113
5/18/18,108
5/17/18,113
5/16/18,n.a.
5/15/18,n.a.
5/14/18,n.a.
5/11/18,n.a.
5/10/18,128
5/9/18,138
5/8/18,n.a.
5/4/18,133
5/3/18,108
5/2/18,123
5/1/18,128
4/27/18,128
4/26/18,118
4/25/18,118
4/24/18,118
4/23/18,128
4/20/18,103
4/19/18,108
4/18/18,138
4/17/18,108
4/16/18,158
4/12/18,148
4/11/18,118
4/10/18,138
4/9/18,128
4/6/18,128
4/5/18,128
4/4/18,128
4/3/18,128
4/2/18,128
3/29/18,n.a.
3/28/18,128
3/27/18,138
3/26/18,138
3/23/18,108
3/22/18,123
3/21/18,118
3/20/18,n.a.
3/19/18,115
3/16/18,118
3/15/18,133
3/14/18,128
3/13/18,128
3/12/18,115
3/9/18,118
3/8/18,108
3/7/18,n.a.
3/6/18,108
3/5/18,108
3/2/18,108
2/28/18,118
2/27/18,118
2/26/18,133
2/23/18,115
2/22/18,108
2/21/18,108
2/20/18,108
2/19/18,n.a.
2/16/18,118
2/15/18,128
2/14/18,128
2/12/18,n.a.
2/9/18,128
2/8/18,148
2/7/18,138
2/6/18,158
2/2/18,n.a.
2/1/18,n.a.
1/30/18,n.a.
1/29/18,n.a.
1/26/18,n.a.
1/25/18,n.a.
1/24/18,118
1/23/18,n.a.
1/22/18,178
1/19/18,n.a.
1/18/18,n.a.
1/17/18,n.a.
1/16/18,218
1/12/18,n.a.
1/11/18,n.a.
1/10/18,198
1/9/18,198
1/8/18,238
1/5/18,n.a.
1/4/18,n.a.
1/3/18,n.a.
1/2/18,n.a.
12/29/17,400
12/28/17,358
12/27/17,n.a.
12/26/17,388
12/22/17,368
12/21/17,358
12/20/17,408
12/19/17,400
12/18/17,388
