Date,Price
5/2/20,60
1/28/20,160
1/27/20,125
1/24/20,110
1/23/20,105
1/22/20,95
1/21/20,105
1/20/20,78
1/17/20,73
1/16/20,65
1/14/20,78
1/13/20,63
1/9/20,53
1/8/20,58
1/7/20,55
1/6/20,65
1/3/20,78
1/2/20,62
1/1/20,53
12/31/19,58
12/27/19,53
12/26/19,65
12/24/19,58
12/23/19,53
12/20/19,50
12/19/19,48
12/18/19,48
12/17/19,58
12/16/19,53
12/13/19,58
12/12/19,53
12/10/19,55
12/9/19,53
12/6/19,58
12/5/19,43
12/4/19,58
12/3/19,49
12/2/19,55
11/29/19,53
11/28/19,55
11/27/19,53
11/26/19,49
11/25/19,53
11/22/19,58
11/21/19,55
11/20/19,53
11/19/19,53
11/18/19,63
11/15/19,58
11/14/19,55
11/13/19,53
11/8/19,63
11/7/19,68
11/6/19,73
11/5/19,85
11/4/19,83
11/1/19,73
10/31/19,93
10/30/19,85
10/29/19,105
10/28/19,95
10/25/19,93
10/24/19,88
10/23/19,93
10/22/19,95
10/21/19,93
10/18/19,108
10/17/19,88
10/16/19,88
10/15/19,105
10/14/19,98
10/11/19,103
10/10/19,88
10/9/19,83
10/8/19,88
10/7/19,93
10/4/19,93
10/3/19,103
10/2/19,88
10/1/19,81
9/30/19,105
9/27/19,88
9/26/19,68
9/25/19,73
9/24/19,78
9/23/19,73
9/20/19,68
9/19/19,73
9/18/19,68
9/17/19,73
9/16/19,73
9/12/19,73
9/11/19,68
9/10/19,63
9/9/19,63
9/6/19,73
9/5/19,58
9/4/19,65
9/3/19,63
9/2/19,63
8/30/19,63
8/29/19,59
8/28/19,53
8/27/19,58
8/26/19,65
8/23/19,63
8/22/19,63
8/21/19,58
8/20/19,60
8/19/19,63
8/16/19,65
8/15/19,63
8/13/19,68
8/9/19,68
8/8/19,73
8/7/19,63
8/6/19,78
8/5/19,71
8/2/19,65
8/1/19,73
7/31/19,75
7/30/19,85
7/29/19,93
7/26/19,73
7/25/19,73
7/24/19,53
7/23/19,85
7/22/19,105
7/19/19,83
7/18/19,113
7/17/19,125
7/15/19,125
7/12/19,93
7/11/19,135
7/10/19,153
7/9/19,125
7/8/19,125
7/5/19,125
7/4/19,135
7/3/19,145
7/2/19,145
7/1/19,145
6/28/19,145
6/27/19,145
6/26/19,155
6/25/19,135
6/24/19,135
6/21/19,133
6/20/19,113
6/19/19,125
6/18/19,n.a.
6/17/19,108
6/14/19,108
6/13/19,128
6/12/19,103
6/11/19,103
6/10/19,93
6/7/19,101
6/6/19,95
6/4/19,78
6/3/19,103
5/31/19,108
5/30/19,78
5/29/19,73
5/28/19,88
5/27/19,83
5/24/19,85
5/23/19,73
5/22/19,85
5/21/19,63
5/17/19,85
5/16/19,83
5/15/19,95
5/14/19,73
5/13/19,75
5/10/19,58
5/9/19,63
5/8/19,68
5/7/19,63
5/6/19,58
5/3/19,58
4/30/19,65
4/29/19,58
4/26/19,53
4/25/19,65
4/24/19,60
4/23/19,48
4/22/19,55
4/18/19,43
4/17/19,n.a.
4/16/19,n.a.
4/12/19,38
4/11/19,31
4/10/19,34
4/9/19,39
4/8/19,38
4/5/19,35
4/4/19,33
4/3/19,34
4/2/19,30
4/1/19,30
3/29/19,38
3/28/19,39
3/27/19,38
3/26/19,29
3/25/19,33
3/22/19,29
3/21/19,35
3/19/19,38
3/18/19,43
3/15/19,29
3/14/19,31
3/13/19,33
3/12/19,33
3/11/19,33
3/8/19,38
3/7/19,48
3/6/19,33
3/5/19,48
3/1/19,45
2/28/19,45
2/27/19,38
2/26/19,38
2/25/19,43
2/22/19,37
2/21/19,43
2/20/19,48
2/18/19,48
2/15/19,40
2/14/19,49
2/13/19,41
2/12/19,34
2/11/19,53
2/8/19,30
2/7/19,32
2/6/19,33
2/5/19,29
2/1/19,31
1/31/19,33
1/30/19,33
1/29/19,31
1/28/19,33
1/25/19,31
1/24/19,43
1/22/19,39
1/21/19,31
1/18/19,31
1/17/19,33
1/16/19,30
1/14/19,29
1/11/19,29
1/10/19,29
1/9/19,29
1/8/19,33
1/7/19,33
1/4/19,33
1/3/19,39
1/2/19,37
1/1/19,33
12/31/18,38
12/28/18,39
12/27/18,37
12/26/18,39
12/24/18,53
12/21/18,48
12/20/18,48
12/19/18,43
12/18/18,43
12/17/18,58
12/14/18,58
12/13/18,58
12/12/18,55
12/11/18,63
12/7/18,63
12/6/18,73
12/5/18,63
12/4/18,63
12/3/18,63
11/30/18,65
11/29/18,78
11/28/18,63
11/27/18,53
11/26/18,70
11/23/18,n.a.
11/21/18,83
11/19/18,63
11/16/18,78
11/15/18,78
11/14/18,83
11/13/18,73
11/12/18,78
11/9/18,83
11/8/18,63
11/7/18,78
11/5/18,78
11/2/18,55
11/1/18,58
10/31/18,55
10/30/18,58
10/29/18,61
10/26/18,58
10/25/18,n.a.
10/23/18,48
10/22/18,48
10/19/18,53
10/18/18,58
10/17/18,65
10/16/18,58
10/15/18,53
10/12/18,58
10/11/18,53
10/10/18,54
10/9/18,58
10/8/18,43
10/5/18,49
10/4/18,53
10/3/18,48
10/2/18,48
10/1/18,65
9/28/18,45
9/27/18,48
9/26/18,48
