Date,Price
8/1/16,165
8/2/16,190
8/3/16,190
8/4/16,190
8/5/16,190
8/8/16,190
8/9/16,175
8/10/16,190
8/11/16,190
8/12/16,175
8/15/16,175
8/16/16,180
8/18/16,165
8/19/16,165
8/22/16,170
8/23/16,165
8/24/16,165
8/25/16,165
8/26/16,145
8/29/16,140
8/30/16,155
8/31/16,155
9/1/16,165
9/2/16,165
9/5/16,175
9/6/16,165
9/7/16,165
9/8/16,165
9/13/16,170
9/14/16,165
9/15/16,165
9/19/16,160
9/20/16,160
9/21/16,155
9/22/16,135
9/23/16,135
9/26/16,145
9/27/16,145
9/28/16,145
9/29/16,145
9/30/16,145
10/3/16,150
10/4/16,150
10/5/16,150
10/6/16,145
10/7/16,145
10/10/16,155
10/11/16,155
10/12/16,155
10/13/16,155
10/14/16,155
10/17/16,155
10/19/16,155
10/20/16,155
10/21/16,155
10/24/16,170
10/25/16,175
10/26/16,190
10/27/16,190
10/28/16,165
10/31/16,175
11/1/16,175
11/2/16,175
11/3/16,175
11/4/16,165
11/7/16,155
11/8/16,150
11/9/16,150
11/10/16,170
11/11/16,175
11/15/16,170
11/16/16,165
11/17/16,165
11/18/16,165
11/21/16,180
11/22/16,180
11/23/16,200
11/24/16,200
11/25/16,200
11/28/16,265
11/29/16,300
11/30/16,265
12/1/16,265
12/2/16,265
12/5/16,265
12/6/16,265
12/7/16,265
12/8/16,235
12/9/16,200
1/2/17,85
1/3/17,95
1/4/17,120
1/5/17,93
1/6/17,93
1/9/17,90
1/10/17,108
1/11/17,90
1/13/17,105
1/16/17,80
1/17/17,105
1/19/17,70
1/20/17,65
1/23/17,75
1/24/17,60
1/25/17,55
1/26/17,55
1/27/17,55
1/30/17,45
1/31/17,75
2/1/17,85
2/2/17,125
2/3/17,110
2/6/17,165
2/7/17,175
2/8/17,165
2/9/17,190
2/13/17,210
2/14/17,215
2/15/17,215
2/16/17,185
2/17/17,110
2/20/17,123
2/21/17,115
2/22/17,115
2/23/17,95
2/27/17,135
2/28/17,120
3/1/17,85
3/2/17,85
3/3/17,105
3/6/17,125
3/7/17,170
3/8/17,145
3/9/17,155
3/10/17,135
3/13/17,150
3/14/17,135
3/15/17,125
3/16/17,135
3/17/17,135
3/20/17,155
3/21/17,165
3/22/17,155
3/23/17,183
3/24/17,135
3/27/17,135
3/28/17,155
3/29/17,155
3/30/17,135
3/31/17,135
4/3/17,115
4/4/17,80
4/5/17,105
4/6/17,95
4/7/17,90
4/11/17,250
4/12/17,205
4/17/17,105
4/18/17,95
4/19/17,95
4/20/17,125
4/24/17,135
