Date,Price
8/1/16,90
8/2/16,75
8/3/16,65
8/4/16,60
8/5/16,65
8/8/16,50
8/9/16,40
8/10/16,40
8/11/16,45
8/12/16,45
8/15/16,55
8/16/16,55
8/18/16,55
8/19/16,40
8/22/16,45
8/23/16,50
8/24/16,50
8/25/16,50
8/26/16,45
8/29/16,50
8/30/16,50
8/31/16,50
9/1/16,50
9/2/16,50
9/5/16,50
9/6/16,50
9/7/16,45
9/8/16,45
9/13/16,90
9/14/16,90
9/15/16,90
9/19/16,60
9/20/16,60
9/21/16,60
9/22/16,55
9/23/16,55
9/26/16,65
9/27/16,70
9/28/16,65
9/29/16,70
9/30/16,70
10/3/16,70
10/4/16,70
10/5/16,70
10/6/16,70
10/7/16,70
10/10/16,75
10/11/16,70
10/12/16,70
10/13/16,70
10/14/16,70
10/17/16,70
10/19/16,55
10/20/16,33
10/21/16,40
10/24/16,45
10/25/16,50
10/26/16,50
10/27/16,50
10/28/16,50
10/31/16,55
11/1/16,55
11/2/16,55
11/3/16,45
11/4/16,45
11/7/16,45
11/8/16,50
11/9/16,50
11/10/16,50
11/11/16,50
11/15/16,55
11/16/16,50
11/17/16,50
11/18/16,50
11/21/16,50
11/22/16,45
11/23/16,45
11/24/16,50
11/25/16,50
11/28/16,45
11/29/16,55
11/30/16,50
12/1/16,40
12/2/16,40
12/5/16,45
12/6/16,45
12/7/16,45
12/8/16,40
12/9/16,40
1/2/17,125
1/3/17,140
1/4/17,158
1/5/17,138
1/6/17,138
1/9/17,115
1/10/17,130
1/11/17,150
1/13/17,140
1/16/17,115
1/17/17,110
1/19/17,65
1/20/17,55
1/23/17,55
1/24/17,55
1/25/17,55
1/26/17,60
1/27/17,55
1/30/17,65
1/31/17,65
2/1/17,65
2/2/17,55
2/3/17,55
2/6/17,50
2/7/17,50
2/8/17,55
2/9/17,55
2/13/17,55
2/14/17,50
2/15/17,55
2/16/17,45
2/17/17,45
2/20/17,45
2/21/17,45
2/22/17,45
2/23/17,45
2/27/17,65
2/28/17,70
3/1/17,55
3/2/17,65
3/3/17,55
3/6/17,90
3/7/17,80
3/8/17,85
3/9/17,75
3/10/17,75
3/13/17,65
3/14/17,75
3/15/17,65
3/16/17,65
3/17/17,75
3/20/17,90
3/21/17,95
3/22/17,105
3/23/17,95
3/24/17,105
3/27/17,105
3/28/17,128
3/29/17,115
3/30/17,125
3/31/17,115
4/3/17,105
4/4/17,125
