Date,Price
8/1/16,120
8/2/16,115
8/3/16,90
8/4/16,110
8/5/16,105
8/8/16,90
8/9/16,90
8/10/16,105
8/11/16,90
8/12/16,110
8/15/16,125
8/16/16,120
8/18/16,125
8/19/16,125
8/22/16,120
8/23/16,90
8/24/16,90
8/25/16,70
8/26/16,70
8/29/16,70
8/30/16,70
8/31/16,70
9/1/16,70
9/2/16,70
9/5/16,70
9/6/16,70
9/7/16,65
9/8/16,65
9/13/16,80
9/14/16,80
9/15/16,80
9/19/16,70
9/20/16,70
9/21/16,65
9/22/16,60
9/23/16,60
9/26/16,65
9/27/16,65
9/28/16,65
9/29/16,65
9/30/16,65
10/3/16,60
10/4/16,60
10/5/16,60
10/6/16,60
10/7/16,60
10/10/16,65
10/11/16,65
10/12/16,65
10/13/16,65
10/14/16,70
10/17/16,70
10/19/16,70
10/20/16,60
10/21/16,70
10/24/16,70
10/25/16,70
10/26/16,70
10/27/16,70
10/28/16,55
10/31/16,55
11/1/16,58
11/2/16,60
11/3/16,50
11/4/16,30
11/7/16,40
11/8/16,35
11/9/16,35
11/10/16,40
11/11/16,40
11/15/16,40
11/16/16,50
11/17/16,50
11/18/16,50
11/21/16,45
11/22/16,35
11/23/16,50
11/24/16,50
11/25/16,40
11/28/16,35
11/29/16,45
11/30/16,45
12/1/16,45
12/2/16,40
12/5/16,40
12/6/16,40
12/7/16,35
12/8/16,30
12/9/16,45
1/2/17,40
1/3/17,30
1/4/17,40
1/5/17,33
1/6/17,33
1/9/17,33
1/10/17,35
1/11/17,35
1/13/17,35
1/16/17,30
1/17/17,43
1/19/17,30
1/20/17,35
1/23/17,35
1/24/17,35
1/25/17,35
1/26/17,25
1/27/17,33
1/30/17,25
1/31/17,25
2/1/17,35
2/2/17,25
2/3/17,30
2/6/17,35
2/7/17,25
2/8/17,35
2/9/17,25
2/13/17,45
2/14/17,35
2/15/17,35
2/16/17,45
2/17/17,35
2/20/17,45
2/21/17,35
2/22/17,35
2/23/17,35
2/27/17,50
2/28/17,35
3/1/17,25
3/2/17,30
3/3/17,45
3/6/17,45
3/7/17,45
