Date,Price
8/1/16,155
8/2/16,155
8/3/16,150
8/4/16,145
8/5/16,145
8/8/16,125
8/9/16,135
8/10/16,150
8/11/16,90
8/12/16,110
8/15/16,130
8/16/16,130
8/18/16,130
8/19/16,130
8/22/16,135
8/23/16,120
8/24/16,120
8/25/16,90
8/26/16,90
8/29/16,100
8/30/16,100
8/31/16,100
9/1/16,100
9/2/16,90
9/5/16,90
9/6/16,90
9/7/16,88
9/8/16,90
9/13/16,105
9/14/16,105
9/15/16,105
9/19/16,115
9/20/16,115
9/21/16,120
9/22/16,105
9/23/16,90
9/26/16,105
9/27/16,105
9/28/16,105
9/29/16,105
9/30/16,105
10/3/16,100
10/4/16,100
10/5/16,100
10/6/16,90
10/7/16,90
10/10/16,90
10/11/16,90
10/12/16,90
10/13/16,90
10/14/16,120
10/17/16,145
10/19/16,125
10/20/16,120
10/21/16,120
10/24/16,110
10/25/16,130
10/26/16,130
10/27/16,120
10/28/16,120
10/31/16,120
11/1/16,130
11/2/16,125
11/3/16,110
11/4/16,90
11/7/16,110
11/8/16,110
11/9/16,110
11/10/16,110
11/11/16,110
11/15/16,110
11/16/16,110
11/17/16,110
11/18/16,110
11/21/16,110
11/22/16,110
11/23/16,110
11/24/16,120
11/25/16,110
11/28/16,135
11/29/16,135
11/30/16,135
12/1/16,135
12/2/16,135
12/5/16,125
12/6/16,125
12/7/16,125
12/8/16,145
12/9/16,125
1/2/17,95
1/3/17,98
1/4/17,140
1/5/17,96
1/6/17,96
1/9/17,80
1/10/17,85
1/11/17,70
1/13/17,80
1/16/17,75
1/17/17,100
1/19/17,100
1/20/17,95
1/23/17,85
1/24/17,85
1/25/17,75
1/26/17,75
1/27/17,75
1/30/17,85
1/31/17,75
2/1/17,80
2/2/17,75
2/3/17,80
2/6/17,75
2/7/17,65
2/8/17,65
2/9/17,65
2/13/17,80
2/14/17,80
2/15/17,75
2/16/17,80
2/17/17,75
2/20/17,80
2/21/17,75
2/22/17,75
2/23/17,75
2/27/17,75
2/28/17,80
3/1/17,55
3/2/17,55
3/3/17,75
3/6/17,65
3/7/17,90
3/8/17,55
3/9/17,70
3/10/17,55
3/13/17,45
3/14/17,65
3/15/17,55
3/16/17,55
3/17/17,55
3/20/17,95
3/21/17,85
3/22/17,95
3/23/17,117
3/24/17,135
3/27/17,95
3/28/17,115
3/29/17,110
3/30/17,105
3/31/17,105
4/3/17,90
4/4/17,115
4/5/17,125
4/6/17,95
4/7/17,95
4/11/17,120
4/12/17,140
4/17/17,125
4/18/17,155
4/19/17,175
4/20/17,185
4/24/17,193
4/25/17,170
4/26/17,185
4/27/17,185
4/28/17,190
5/2/17,225
5/3/17,275
5/4/17,255
5/5/17,235
5/8/17,235
5/9/17,205
5/12/17,290
5/15/17,253
5/16/17,265
5/17/17,215
5/18/17,215
5/19/17,235
5/22/17,265
5/23/17,275
5/24/17,275
5/25/17,255
5/26/17,215
5/29/17,265
5/30/17,195
5/31/17,275
6/1/17,275
6/2/17,265
6/5/17,225
6/6/17,275
6/7/17,185
6/9/17,265
6/12/17,265
6/13/17,285
6/14/17,215
6/15/17,265
6/16/17,265
6/19/17,205
6/20/17,245
6/21/17,215
6/22/17,265
6/23/17,265
6/27/17,255
6/28/17,255
6/29/17,255
7/3/17,205
7/4/17,185
7/5/17,175
7/6/17,165
7/7/17,145
7/10/17,195
7/11/17,225
7/12/17,215
7/13/17,193
7/14/17,185
7/17/17,195
7/18/17,195
7/19/17,215
7/27/17,195
7/28/17,185
7/31/17,138
8/1/17,165
8/2/17,163
8/3/17,178
8/4/17,165
8/8/17,173
8/9/17,145
8/10/17,165
8/11/17,115
8/14/17,138
8/15/17,135
8/16/17,125
8/17/17,125
8/18/17,143
8/21/17,145
8/22/17,78
8/23/17,115
8/24/17,113
8/25/17,95
8/28/17,95
8/29/17,118
8/30/17,113
8/31/17,108
9/4/17,135
9/6/17,125
9/7/17,125
9/8/17,95
9/11/17,85
9/12/17,125
9/13/17,83
9/14/17,95
9/15/17,113
9/18/17,125
9/19/17,115
9/20/17,115
9/21/17,115
9/22/17,115
9/25/17,113
9/26/17,158
9/27/17,145
9/28/17,155
9/29/17,165
10/2/17,138
10/3/17,183
10/4/17,145
10/6/17,135
10/9/17,78
10/10/17,115
10/11/17,133
10/12/17,125
10/13/17,125
10/16/17,145
10/17/17,165
10/19/17,158
10/20/17,145
10/23/17,93
10/24/17,163
10/25/17,155
10/26/17,163
10/27/17,145
10/31/17,165
11/1/17,135
11/2/17,145
11/6/17,185
11/7/17,165
11/8/17,133
11/9/17,180
11/10/17,175
11/13/17,193
11/14/17,193
11/15/17,188
11/16/17,168
11/17/17,195
11/20/17,165
11/21/17,185
11/22/17,165
11/23/17,193
11/24/17,215
11/27/17,203
11/28/17,205
11/29/17,233
11/30/17,225
12/4/17,175
12/5/17,145
12/6/17,165
12/7/17,135
12/8/17,165
12/11/17,158
12/12/17,168
12/13/17,195
12/14/17,148
12/15/17,165
12/18/17,145
12/19/17,138
12/20/17,143
12/21/17,135
12/22/17,135
12/26/17,125
12/27/17,125
12/28/17,125
12/29/17,115
1/2/18,155
1/3/18,128
1/4/18,125
1/5/18,105
1/8/18,133
1/10/18,135
1/11/18,135
1/12/18,135
1/16/18,103
1/17/18,125
1/18/18,133
1/19/18,125
1/22/18,103
1/23/18,93
1/24/18,78
1/25/18,75
1/26/18,83
1/29/18,125
1/30/18,125
2/1/18,135
2/2/18,130
2/6/18,118
2/7/18,108
2/8/18,95
2/9/18,95
2/14/18,145
2/15/18,85
2/16/18,103
2/19/18,145
2/20/18,95
2/21/18,115
2/22/18,103
2/23/18,88
2/26/18,83
2/27/18,113
2/28/18,88
3/2/18,93
3/5/18,75
3/6/18,88
3/7/18,93
3/8/18,110
3/9/18,115
3/12/18,105
3/13/18,98
3/14/18,103
3/15/18,103
3/16/18,68
3/19/18,80
3/20/18,95
3/21/18,88
3/22/18,95
3/23/18,98
3/26/18,88
3/27/18,108
3/28/18,108
3/29/18,103
4/2/18,113
4/4/18,105
4/5/18,115
4/6/18,118
4/9/18,115
4/10/18,85
4/11/18,118
4/12/18,138
4/16/18,118
4/17/18,115
4/18/18,115
4/19/18,108
4/20/18,98
4/23/18,85
4/24/18,128
4/25/18,118
4/26/18,115
4/27/18,98
5/1/18,98
5/2/18,123
5/3/18,118
5/4/18,135
5/8/18,135
5/9/18,148
5/10/18,155
5/11/18,148
5/14/18,168
5/15/18,163
5/16/18,178
5/17/18,178
5/18/18,185
5/21/18,215
5/22/18,195
5/24/18,225
5/25/18,265
5/28/18,213
5/30/18,185
5/31/18,235
6/1/18,235
6/4/18,235
6/5/18,245
6/6/18,235
6/7/18,175
6/8/18,235
6/11/18,248
6/12/18,255
6/13/18,265
6/14/18,255
6/18/18,235
6/19/18,275
6/20/18,260
6/21/18,253
6/22/18,285
6/25/18,295
6/26/18,285
6/29/18,228
7/2/18,265
7/3/18,195
7/4/18,175
7/5/18,215
7/6/18,195
7/10/18,235
7/11/18,195
7/12/18,225
7/13/18,215
7/16/18,225
7/17/18,235
7/18/18,255
7/19/18,185
7/20/18,168
7/23/18,225
7/24/18,235
7/25/18,245
7/26/18,265
7/30/18,265
7/31/18,275
8/1/18,245
8/2/18,265
8/3/18,275
8/6/18,215
8/7/18,305
8/10/18,295
8/13/18,315
8/14/18,315
8/15/18,315
8/16/18,315
8/17/18,355
8/20/18,275
8/21/18,355
8/23/18,265
8/24/18,335
8/27/18,335
8/28/18,335
8/29/18,315
8/30/18,355
8/31/18,345
9/11/18,265
9/12/18,235
9/13/18,235
9/13/18,235
9/17/18,165
9/18/18,195
9/19/18,205
9/20/18,185
9/21/18,175
9/25/18,165
9/26/18,175
9/27/18,165
9/28/18,165
10/1/18,128
10/2/18,115
10/3/18,115
10/4/18,115
10/5/18,125
10/8/18,125
10/9/18,125
10/10/18,133
10/11/18,130
10/12/18,153
10/15/18,138
10/16/18,185
10/17/18,183
10/18/18,183
10/19/18,155
10/22/18,163
10/23/18,165
10/26/18,175
10/29/18,215
10/30/18,225
10/31/18,255
11/1/18,255
11/2/18,205
11/5/18,260
11/7/18,225
11/8/18,295
11/9/18,295
11/12/18,225
11/13/18,295
11/14/18,255
11/15/18,315
11/16/18,335
11/19/18,305
11/21/18,275
11/26/18,245
11/27/18,265
11/28/18,285
11/29/18,288
11/30/18,255
12/3/18,235
12/4/18,235
12/5/18,185
12/6/18,205
12/7/18,195
12/11/18,175
12/12/18,175
12/13/18,198
12/14/18,193
12/17/18,195
12/18/18,155
12/19/18,163
12/20/18,175
12/21/18,145
