Date,Price
4/2/20,n.a.
4/1/20,53
3/31/20,n.a.
3/30/20,58
3/27/20,105
3/26/20,75
3/24/20,51
3/23/20,48
3/20/20,51
3/19/20,58
3/18/20,65
3/17/20,73
3/13/20,95
3/12/20,79
3/11/20,88
3/10/20,78
3/6/20,110
3/5/20,115
3/4/20,115
3/3/20,143
3/2/20,135
2/28/20,148
2/27/20,145
2/26/20,115
2/25/20,145
2/24/20,135
2/20/20,113
2/19/20,115
2/18/20,195
2/17/20,255
2/14/20,265
2/13/20,275
2/12/20,315
2/11/20,303
2/10/20,273
2/7/20,235
2/6/20,253
2/5/20,375
2/3/20,375
1/31/20,375
1/30/20,350
1/29/20,405
1/28/20,380
1/27/20,355
1/24/20,350
1/23/20,335
1/22/20,345
1/21/20,335
1/20/20,365
1/17/20,293
1/16/20,295
1/14/20,295
1/13/20,273
1/9/20,225
1/8/20,175
1/7/20,153
1/6/20,165
1/3/20,185
1/2/20,115
1/1/20,125
12/31/19,173
12/27/19,175
12/26/19,205
12/24/19,195
12/23/19,175
12/20/19,105
12/19/19,83
12/18/19,103
12/17/19,105
12/16/19,103
12/13/19,108
12/12/19,88
12/10/19,113
12/9/19,113
12/6/19,125
12/5/19,98
12/4/19,83
12/3/19,83
12/2/19,83
11/29/19,88
11/28/19,85
11/27/19,68
11/26/19,75
11/25/19,73
11/22/19,73
11/21/19,55
11/20/19,85
11/19/19,63
11/18/19,73
11/15/19,63
11/14/19,65
11/13/19,78
11/8/19,75
11/7/19,78
11/6/19,85
11/5/19,105
11/4/19,113
11/1/19,123
10/31/19,123
10/30/19,108
10/29/19,115
10/28/19,125
10/25/19,108
10/24/19,98
10/23/19,108
10/22/19,108
10/21/19,103
10/18/19,115
10/17/19,115
10/16/19,125
10/15/19,115
10/14/19,110
10/11/19,85
10/10/19,115
10/9/19,118
10/8/19,115
10/7/19,125
10/4/19,125
10/3/19,125
10/2/19,128
10/1/19,115
9/30/19,115
9/27/19,98
9/26/19,95
9/25/19,115
9/24/19,115
9/23/19,115
9/20/19,123
9/19/19,108
9/18/19,98
9/17/19,88
9/16/19,98
9/12/19,68
9/11/19,80
9/10/19,68
9/9/19,80
9/6/19,64
9/5/19,70
9/4/19,98
9/3/19,95
9/2/19,113
8/30/19,103
8/29/19,108
8/28/19,103
8/27/19,108
8/26/19,103
8/23/19,98
8/22/19,103
8/21/19,108
8/20/19,108
8/19/19,115
8/16/19,103
8/15/19,98
8/13/19,108
8/9/19,93
8/8/19,95
8/7/19,103
8/6/19,83
8/5/19,93
8/2/19,83
8/1/19,83
7/31/19,93
7/30/19,98
7/29/19,88
7/26/19,73
